timestamp,temperature,humidity,light,label
2025-04-12 21:24:00,30.86903292434387,40.81830650867411,102,0
2025-04-12 21:29:00,31.926770356368007,34.591755362201226,95,0
2025-04-12 21:34:00,30.953889671302814,44.5359786135809,100,0
2025-04-12 21:39:00,31.901777413075006,47.713596596825546,67,0
2025-04-12 21:44:00,30.727506436562688,38.414774941904504,95,0
2025-04-12 21:49:00,31.970673313905614,42.580275774926896,123,0
2025-04-12 21:54:00,32.623287299559266,37.69220984085599,117,0
2025-04-12 21:59:00,30.19510212293401,41.877708053753864,127,0
2025-04-12 22:04:00,30.826075588218956,53.62429409178032,89,0
2025-04-12 22:09:00,31.303052723864873,49.59522241348865,51,0
2025-04-12 22:14:00,31.405127485639483,47.301921523132805,114,0
2025-04-12 22:19:00,32.08969156324752,47.309372270777324,96,0
2025-04-12 22:24:00,31.09481593781201,42.223456347936825,117,0
2025-04-12 22:29:00,30.64070114516628,30.367943223811032,86,0
2025-04-12 22:34:00,28.266262515586572,37.71127486066912,85,0
2025-04-12 22:39:00,29.067040704243844,50.410211218104735,125,0
2025-04-12 22:44:00,28.472250578469417,40.0538189756054,69,0
2025-04-12 22:49:00,30.368779825434626,49.855812655575136,107,0
2025-04-12 22:54:00,32.38272396023764,43.25339023207745,51,0
2025-04-12 22:59:00,28.874920494503108,43.94973600142013,120,0
2025-04-12 23:04:00,31.24236968077005,45.94167016355785,111,0
2025-04-12 23:09:00,29.065359247273012,46.767543436491636,104,0
2025-04-12 23:14:00,30.43894574688981,44.099632672902146,97,0
2025-04-12 23:19:00,32.61055532398378,48.845037367976005,53,0
2025-04-12 23:24:00,30.46123923698673,47.03421279062974,145,0
2025-04-12 23:29:00,27.41527585222382,44.76004821722762,90,0
2025-04-12 23:34:00,31.49231043554809,44.85099860462806,73,0
2025-04-12 23:39:00,29.615829917948734,40.0681254564001,107,0
2025-04-12 23:44:00,27.03207321774531,36.40311439841014,64,0
2025-04-12 23:49:00,32.85620413523679,47.40964297269818,73,0
2025-04-12 23:54:00,28.497268790266677,50.556484439000215,88,0
2025-04-12 23:59:00,29.876414141017463,43.275231833238664,144,0
2025-04-13 00:04:00,30.502853743917548,45.691374023791816,126,0
2025-04-13 00:09:00,28.242139997762887,46.31342737601535,142,0
2025-04-13 00:14:00,29.535488619209982,46.48431940171288,136,0
2025-04-13 00:19:00,28.593703703612867,36.43020886097056,118,0
2025-04-13 00:24:00,30.039273310819503,48.102761930691535,105,0
2025-04-13 00:29:00,30.19390992653754,41.42386633843911,95,0
2025-04-13 00:34:00,32.96477158143751,44.91899762972375,59,0
2025-04-13 00:39:00,29.777187248663033,47.13585545899452,146,0
2025-04-13 00:44:00,29.922590805613485,52.31789439756782,144,0
2025-04-13 00:49:00,29.202593691855835,46.47073228917627,82,0
2025-04-13 00:54:00,30.683521955955758,40.96958526297828,75,0
2025-04-13 00:59:00,33.00608877616764,43.93003018553883,69,0
2025-04-13 01:04:00,32.613305830374145,37.878612808622414,133,0
